onnx_file,vnnlib_file,verdict,coverage,q,epsilon_total,delta_total,train_s,verify_s,total_s,cex_x,cex_y,error
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,5.8479,0.0045,0.9960,30.0,0.1,30.1,,,
ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.0719,0.0045,0.9960,24.8,0.1,25.0,,,
ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,4.7909,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,5.5124,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,12.7506,0.0045,0.9960,25.3,0.1,25.4,,,
ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,5.8861,0.0045,0.9960,25.0,0.1,25.1,,,
ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,6.0732,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,5.6334,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,5.1728,0.0045,0.9960,24.4,0.1,24.5,,,
ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,6.6713,0.0045,0.9960,24.3,0.1,24.4,,,
ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,8.9564,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.6354,0.0045,0.9960,25.2,0.1,25.3,,,
ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,6.5037,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,21.7043,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_2_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,6.0414,0.0045,0.9960,25.7,0.1,25.8,,,
ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,4.5156,0.0045,0.9960,25.5,0.1,25.6,,,
ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,24.2095,0.0045,0.9960,25.5,0.1,25.6,,,
ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,16.1886,0.0045,0.9960,25.3,0.1,25.4,,,
ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,7.5899,0.0045,0.9960,25.0,0.1,25.1,,,
ACASXU_run2a_3_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,10.4489,0.0045,0.9960,25.1,0.1,25.2,,,
ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.6278,0.0045,0.9960,24.3,0.1,24.4,,,
ACASXU_run2a_3_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,9.7673,0.0045,0.9960,24.5,0.1,24.6,,,
ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.4749,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,6.4777,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_3_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,13.0714,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_3_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,10.4814,0.0045,0.9960,24.6,0.1,24.7,,,
ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,10.7745,0.0045,0.9960,25.2,0.1,25.3,,,
ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9985,16.9658,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_4_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,7.8757,0.0045,0.9960,24.7,0.1,24.8,,,
ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,12.7705,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,14.0542,0.0045,0.9960,25.6,0.1,25.8,,,
ACASXU_run2a_4_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,17.9512,0.0045,0.9960,24.3,0.1,24.4,,,
ACASXU_run2a_4_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,13.1833,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_4_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,12.8737,0.0045,0.9960,24.9,0.1,25.0,,,
ACASXU_run2a_4_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,35.5122,0.0045,0.9960,33.1,0.1,33.2,,,
ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,15.5091,0.0045,0.9960,25.7,0.1,25.8,,,
ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,29.1431,0.0045,0.9960,25.5,0.1,25.6,,,
ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,11.8119,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,7.4081,0.0045,0.9960,24.1,0.1,24.2,,,
ACASXU_run2a_5_4_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,6.0921,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_5_5_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9990,9.0662,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_5_6_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,27.8278,0.0045,0.9960,25.4,0.1,25.5,,,
ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,8.9796,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_5_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,0.9995,33.3564,0.0045,0.9960,25.6,0.1,25.7,,,
ACASXU_run2a_5_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,1.0000,5.8384,0.0045,0.9960,24.2,0.1,24.3,,,
ACASXU_run2a_1_1_batch_2000.onnx,prop_2.vnnlib,UNSAT,0.9995,5.8479,0.0148,0.9960,24.1,0.4,24.5,,,
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,1.0000,7.0719,0.0148,0.9960,24.1,0.4,25.1,,,
ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,UNSAT,1.0000,4.7909,0.0148,0.9960,24.1,0.4,24.5,,,
ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,0.9990,5.5124,0.0148,0.9960,24.1,0.4,25.1,,,
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,1.0000,12.7506,0.0148,0.9960,25.4,0.4,26.5,,,
