block,knob,value,seed_index,seed,volume,volume_se,empirical_coverage,threshold_q,delta_1,ell,flow_training_time,calibration_time,volume_estimation_time,run_time,cfg_t,cfg_n_layers,cfg_hidden,cfg_activation,cfg_n_train,cfg_n_calib,cfg_n_test,cfg_epochs,cfg_batch_size,cfg_lr,cfg_coupling,cfg_epsilon_1,cfg_ell_offset,cfg_n_volume_mc
A,t,0.1,0,1480529642,2.4594209409399355,0.010158134468543639,0.9991999864578247,0.9411709308624268,0.9969902212511332,7999,11.369639873504639,0.0776669979095459,0.2287440299987793,11.720072507858276,0.1,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.1,1,286347375,2.53470572275819,0.010125699075268996,1.0,0.9498100876808167,0.9969902212511332,7999,11.120343923568726,0.0566558837890625,0.23856353759765625,11.458601474761963,0.1,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.1,2,2053224392,2.5148363097648883,0.01013535644302801,1.0,0.9492628574371338,0.9969902212511332,7999,11.208001375198364,0.054793596267700195,0.24160456657409668,11.54926347732544,0.1,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.25,0,1816589223,2.3330959237241586,0.010187358635193005,0.9995999932289124,1.014616847038269,0.9969902212511332,7999,11.165122032165527,0.05477142333984375,0.23997259140014648,11.492793798446655,0.25,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.25,1,2097771442,2.331637545915015,0.010187512910124501,0.9991999864578247,1.0185188055038452,0.9969902212511332,7999,8.633905410766602,0.04067850112915039,0.21471858024597168,8.921908140182495,0.25,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.25,2,529657724,2.3948000545229036,0.010177013711440079,1.0,1.0217258930206299,0.9969902212511332,7999,10.144012212753296,0.05529332160949707,0.22152423858642578,10.45872950553894,0.25,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.5,0,1289379629,1.8330816255775773,0.00999359903933972,0.9994000196456909,1.1693123579025269,0.9969902212511332,7999,11.073427438735962,0.054969072341918945,0.3291783332824707,11.499294519424438,0.5,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.5,1,908772998,1.8313498528597165,0.009992052038353419,0.9995999932289124,1.1909806728363037,0.9969902212511332,7999,11.059253931045532,0.05539441108703613,0.33008623123168945,11.489849090576172,0.5,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.5,2,1619317281,1.8288890270519431,0.009989842991401246,0.9987999796867371,1.1721707582473755,0.9969902212511332,7999,8.481621026992798,0.041791439056396484,0.3244748115539551,8.891871213912964,0.5,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.75,0,953320048,1.2318979013690239,0.009051513096342088,1.0,1.446014404296875,0.9969902212511332,7999,8.445505857467651,0.062416791915893555,0.41559934616088867,8.979259014129639,0.75,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.75,1,1574770231,1.2151275072664873,0.009012330908031777,0.9998000264167786,1.4514516592025757,0.9969902212511332,7999,8.198627471923828,0.06234455108642578,0.36194419860839844,8.664064407348633,0.75,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,0.75,2,1955376862,1.2106613780174769,0.009001762467842669,0.9990000128746033,1.399202823638916,0.9969902212511332,7999,8.36442255973816,0.07199382781982422,0.4226350784301758,8.915793418884277,0.75,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,1.0,0,1040999246,0.7054520333466314,0.0073719285983409755,0.9995999932289124,2.0352790355682373,0.9969902212511332,7999,8.050805807113647,0.11729955673217773,0.47390317916870117,8.699004650115967,1.0,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
A,t,1.0,1,725877771,0.6656222794457776,0.007197724261127263,0.9995999932289124,1.9474012851715088,0.9969902212511332,7999,8.697673082351685,0.08270072937011719,0.5659759044647217,9.411974906921387,1.0,4,64,silu,2000,8000,5000,100,256,0.001,sinkhorn,0.001,1,50000
